iter	Passed	Remaining
241	941	2948
242	944	2943
243	947	2936
244	951	2932
245	954	2927
246	958	2920
247	961	2916
248	965	2912
249	969	2909
250	972	2903
251	976	2898
252	979	2893
253	983	2887
254	986	2882
255	989	2876
256	993	2872
257	998	2870
258	1002	2867
259	1005	2861
260	1008	2855
261	1012	2850
262	1015	2846
263	1019	2840
264	1022	2834
265	1025	2829
266	1028	2824
267	1032	2818
268	1035	2813
269	1038	2807
270	1041	2802
271	1045	2797
272	1048	2792
273	1052	2787
274	1055	2783
275	1059	2778
276	1062	2772
277	1065	2766
278	1068	2760
279	1071	2755
280	1074	2749
281	1077	2744
282	1081	2739
283	1085	2736
284	1089	2732
285	1092	2726
286	1095	2722
287	1099	2717
288	1103	2714
289	1107	2711
290	1110	2706
291	1114	2703
292	1118	2698
293	1122	2695
294	1125	2690
295	1129	2685
296	1133	2681
297	1136	2676
298	1138	2670
299	1142	2665
300	1146	2661
301	1149	2656
302	1153	2653
303	1157	2649
304	1161	2646
305	1164	2641
306	1167	2636
307	1171	2631
308	1174	2626
309	1177	2621
310	1181	2616
311	1183	2610
312	1187	2605
313	1190	2600
314	1193	2595
315	1196	2590
316	1200	2587
317	1204	2584
318	1208	2580
319	1212	2575
320	1215	2571
321	1219	2567
322	1222	2562
323	1225	2556
324	1229	2552
325	1232	2547
326	1236	2544
327	1241	2543
328	1244	2538
329	1248	2534
330	1251	2529
331	1255	2525
332	1259	2522
333	1262	2517
334	1266	2514
335	1270	2510
336	1273	2506
337	1277	2501
338	1280	2497
339	1283	2491
340	1286	2485
341	1289	2480
342	1292	2476
343	1296	2471
344	1299	2467
345	1303	2462
346	1306	2458
347	1310	2455
348	1314	2452
349	1318	2448
350	1321	2443
351	1325	2439
352	1329	2435
353	1332	2430
354	1336	2428
355	1340	2424
356	1344	2420
357	1347	2416
358	1353	2417
359	1357	2412
360	1360	2408
361	1364	2404
362	1367	2399
363	1370	2394
364	1375	2392
365	1378	2388
366	1382	2384
367	1385	2380
368	1389	2375
369	1393	2372
370	1397	2368
371	1400	2364
372	1404	2360
373	1409	2358
374	1413	2355
375	1416	2351
376	1420	2347
377	1424	2343
378	1427	2339
379	1430	2334
380	1433	2329
381	1436	2324
382	1439	2319
383	1443	2315
384	1446	2311
385	1450	2306
386	1453	2301
387	1456	2297
388	1460	2293
389	1463	2288
390	1466	2284
391	1470	2280
392	1473	2276
393	1477	2272
394	1480	2267
395	1483	2263
396	1488	2260
397	1493	2258
398	1497	2256
399	1501	2251
400	1505	2248
401	1510	2246
402	1514	2243
403	1518	2239
404	1521	2235
405	1525	2231
406	1529	2228
407	1533	2225
408	1537	2222
409	1542	2218
410	1546	2216
411	1550	2212
412	1554	2208
413	1557	2204
414	1561	2200
415	1564	2196
416	1568	2192
417	1571	2188
418	1576	2186
419	1580	2182
420	1584	2179
421	1588	2176
422	1592	2172
423	1596	2169
424	1600	2165
425	1607	2165
426	1612	2163
427	1616	2160
428	1619	2155
429	1624	2152
430	1627	2148
431	1631	2144
432	1634	2140
433	1638	2136
434	1642	2133
435	1646	2129
436	1665	2146
437	1668	2141
438	1672	2137
439	1675	2132
440	1679	2128
441	1683	2124
442	1687	2121
443	1691	2117
444	1695	2114
445	1699	2110
446	1704	2108
447	1708	2104
448	1712	2101
449	1715	2096
450	1718	2091
451	1722	2087
452	1726	2085
453	1730	2081
454	1734	2078
455	1738	2074
456	1743	2071
457	1746	2066
458	1749	2061
459	1752	2057
460	1756	2053
461	1759	2049
462	1763	2044
463	1766	2040
464	1770	2037
465	1773	2032
466	1777	2028
467	1780	2024
468	1784	2020
469	1788	2016
470	1791	2012
471	1794	2007
472	1798	2003
473	1801	1999
474	1804	1994
475	1808	1990
476	1812	1986
477	1815	1982
478	1819	1978
479	1822	1974
480	1825	1970
481	1829	1966
482	1832	1961
483	1835	1957
484	1839	1953
485	1842	1948
486	1846	1944
487	1849	1940
488	1852	1936
489	1856	1932
490	1861	1929
491	1864	1925
492	1867	1920
493	1871	1916
494	1875	1913
495	1879	1910
496	1883	1906
497	1887	1902
498	1890	1898
499	1894	1894
500	1898	1890
501	1902	1887
502	1905	1883
503	1910	1880
504	1913	1876
505	1918	1872
506	1921	1868
507	1924	1864
508	1928	1860
509	1931	1855
510	1934	1851
511	1937	1846
512	1940	1842
513	1945	1839
514	1949	1835
515	1953	1832
516	1957	1828
517	1960	1824
518	1964	1820
519	1967	1816
520	1971	1812
521	1975	1809
522	1979	1805
523	1982	1800
524	1985	1796
525	1989	1792
526	1992	1788
527	1995	1784
528	1999	1780
529	2002	1775
530	2006	1772
531	2010	1768
532	2014	1764
533	2017	1760
534	2022	1757
535	2026	1754
536	2030	1750
537	2033	1746
538	2037	1742
539	2040	1738
540	2043	1733
541	2046	1729
542	2050	1725
543	2053	1721
544	2056	1716
545	2059	1712
546	2062	1708
547	2066	1704
548	2070	1700
549	2073	1696
550	2076	1692
551	2080	1688
552	2083	1684
553	2086	1679
554	2089	1675
555	2092	1671
556	2096	1667
557	2099	1663
558	2103	1659
559	2106	1654
560	2110	1651
561	2113	1647
562	2118	1644
563	2122	1640
564	2126	1637
565	2129	1633
566	2133	1629
567	2136	1624
568	2139	1620
569	2143	1617
570	2146	1612
571	2150	1608
572	2152	1604
573	2156	1600
574	2159	1596
575	2163	1592
576	2167	1588
577	2170	1584
578	2173	1580
579	2177	1576
580	2180	1572
581	2184	1568
582	2187	1564
583	2190	1560
584	2193	1556
585	2196	1551
586	2199	1547
587	2202	1543
588	2206	1539
589	2209	1535
590	2212	1531
591	2218	1528
592	2221	1524
593	2225	1521
594	2228	1517
595	2232	1513
596	2235	1509
597	2238	1505
598	2241	1500
599	2244	1496
600	2247	1492
601	2251	1488
602	2254	1484
603	2257	1480
604	2261	1476
605	2264	1472
606	2267	1468
607	2270	1463
608	2273	1459
609	2276	1455
610	2284	1454
611	2289	1451
612	2294	1448
613	2298	1445
614	2302	1441
615	2305	1437
616	2309	1433
617	2311	1429
618	2314	1424
619	2317	1420
620	2320	1415
621	2322	1411
622	2325	1407
623	2327	1402
624	2331	1398
625	2334	1394
626	2337	1390
627	2340	1386
628	2343	1382
629	2347	1378
630	2351	1374
631	2355	1371
632	2358	1367
633	2361	1363
634	2365	1359
635	2370	1356
636	2373	1352
637	2377	1348
638	2380	1344
639	2383	1340
640	2387	1336
641	2390	1333
642	2394	1329
643	2398	1326
644	2402	1322
645	2406	1318
646	2409	1314
647	2413	1310
648	2417	1307
649	2421	1303
650	2424	1300
651	2428	1296
652	2432	1292
653	2435	1288
654	2439	1284
655	2442	1280
656	2446	1277
657	2450	1273
658	2453	1269
659	2456	1265
660	2459	1261
661	2463	1257
662	2467	1254
663	2470	1250
664	2474	1246
665	2477	1242
666	2481	1238
667	2485	1235
668	2488	1231
669	2492	1227
670	2496	1223
671	2500	1220
672	2503	1216
673	2507	1212
674	2511	1209
675	2514	1205
676	2518	1201
677	2522	1198
678	2526	1194
679	2529	1190
680	2533	1186
681	2536	1182
682	2539	1178
683	2543	1175
684	2546	1171
685	2550	1167
686	2554	1163
687	2558	1160
688	2562	1156
689	2566	1153
690	2570	1149
691	2573	1145
692	2577	1141
693	2581	1138
694	2584	1134
695	2587	1130
696	2591	1126
697	2595	1123
698	2599	1119
699	2603	1115
700	2606	1111
701	2609	1107
702	2613	1103
703	2617	1100
704	2621	1097
705	2625	1093
706	2628	1089
707	2632	1085
708	2635	1081
709	2639	1078
710	2642	1074
711	2645	1070
712	2649	1066
713	2652	1062
714	2656	1058
715	2659	1054
716	2663	1051
717	2666	1047
718	2669	1043
719	2673	1039
720	2676	1035
721	2680	1031
722	2683	1028
723	2686	1024
724	2690	1020
725	2693	1016
726	2697	1012
727	2700	1008
728	2703	1005
729	2706	1001
730	2710	997
731	2714	993
732	2718	990
733	2721	986
734	2725	982
735	2728	978
736	2732	975
737	2735	971
738	2739	967
739	2742	963
740	2745	959
741	2749	955
742	2753	952
743	2757	948
744	2760	944
745	2763	940
746	2766	936
747	2769	933
748	2772	929
749	2776	925
750	2779	921
751	2782	917
752	2785	913
753	2788	909
754	2793	906
755	2796	902
756	2800	899
757	2803	895
758	2807	891
759	2810	887
760	2814	884
761	2818	880
762	2821	876
763	2825	872
764	2828	868
765	2831	865
766	2835	861
767	2838	857
768	2842	853
769	2845	850
770	2849	846
771	2853	842
772	2856	838
773	2859	835
774	2863	831
775	2866	827
776	2870	823
777	2874	820
778	2878	816
779	2882	813
780	2886	809
781	2890	805
782	2894	802
783	2897	798
784	2900	794
785	2904	790
786	2908	787
787	2911	783
788	2915	779
789	2919	775
790	2922	772
791	2926	768
792	2929	764
793	2932	760
794	2936	757
795	2939	753
796	2943	749
797	2946	745
798	2951	742
799	2954	738
800	2957	734
801	2961	731
802	2965	727
803	2968	723
804	2972	720
805	2977	716
806	2980	712
807	2984	709
808	2987	705
809	2991	701
810	2995	698
811	2998	694
812	3002	690
813	3005	686
814	3009	683
815	3012	679
816	3015	675
817	3018	671
818	3022	668
819	3026	664
820	3030	660
821	3034	657
822	3037	653
823	3041	649
824	3044	645
825	3048	642
826	3051	638
827	3055	634
828	3059	631
829	3062	627
830	3066	623
831	3069	619
832	3072	615
833	3075	612
834	3078	608
835	3081	604
836	3085	600
837	3088	597
838	3091	593
839	3095	589
840	3099	585
841	3102	582
842	3105	578
843	3108	574
844	3112	570
845	3115	567
846	3118	563
847	3122	559
848	3125	555
849	3128	552
850	3132	548
851	3135	544
852	3139	541
853	3143	537
854	3146	533
855	3149	529
856	3152	526
857	3157	522
858	3160	518
859	3163	514
860	3165	511
861	3169	507
862	3172	503
863	3176	499
864	3179	496
865	3182	492
866	3186	488
867	3190	485
868	3193	481
869	3197	477
870	3200	474
871	3203	470
872	3206	466
873	3210	462
874	3213	459
875	3218	455
876	3221	451
877	3224	448
878	3227	444
879	3230	440
880	3233	436
881	3237	433
882	3240	429
883	3243	425
884	3247	421
885	3250	418
886	3253	414
887	3257	410
888	3260	407
889	3263	403
890	3266	399
891	3270	395
892	3273	392
893	3276	388
894	3279	384
895	3283	381
896	3285	377
897	3291	373
898	3295	370
899	3298	366
900	3302	362
901	3305	359
902	3308	355
903	3311	351
904	3315	347
905	3318	344
906	3321	340
907	3324	336
908	3328	333
909	3331	329
910	3334	325
911	3338	322
912	3341	318
913	3344	314
914	3348	311
915	3351	307
916	3354	303
917	3357	299
918	3360	296
919	3364	292
920	3367	288
921	3370	285
922	3373	281
923	3376	277
924	3379	274
925	3382	270
926	3385	266
927	3388	262
928	3392	259
929	3395	255
930	3398	251
931	3401	248
932	3404	244
933	3407	240
934	3411	237
935	3414	233
936	3417	229
937	3420	226
938	3423	222
939	3426	218
940	3429	215
941	3433	211
942	3437	207
943	3440	204
944	3444	200
945	3447	196
946	3450	193
947	3454	189
948	3457	185
949	3460	182
950	3463	178
951	3466	174
952	3469	171
953	3472	167
954	3475	163
955	3478	160
956	3482	156
957	3485	152
958	3488	149
959	3491	145
960	3495	141
961	3498	138
962	3503	134
963	3506	130
964	3510	127
965	3513	123
966	3516	120
967	3520	116
968	3523	112
969	3526	109
970	3530	105
971	3533	101
972	3537	98
973	3541	94
974	3544	90
975	3547	87
976	3550	83
977	3554	79
978	3557	76
979	3561	72
980	3564	69
981	3568	65
982	3571	61
983	3574	58
984	3578	54
985	3581	50
986	3584	47
987	3587	43
988	3590	39
989	3593	36
990	3596	32
991	3600	29
992	3603	25
993	3606	21
994	3609	18
995	3612	14
996	3615	10
997	3619	7
998	3622	3
999	3625	0
